Range (M),LAT (deg),GTL (mils),VI (M),Chg,Drift,QE (mils),MV (m/s),TOF,MAX Ord (M)
2501,35.69339444,1600,-250,1L,3,58.8,288.2,9,514
2501,35.69339444,1600,0,1L,4,162.7,288.2,9,604
2501,35.69339444,1600,250,1L,4,266.6,288.2,9,771
3001,35.69339444,1600,-500,1L,4,25.8,288.2,11,503
3001,35.69339444,1600,0,1L,4,199.6,288.2,11,655
3001,35.69339444,1600,500,1L,5,375,288.2,11,1015
4002,35.69339444,1600,-500,1L,6,144,288.2,15,582
4002,35.69339444,1600,0,1L,6,280.2,288.2,15,797
4002,35.69339444,1600,500,1L,7,418.7,288.2,16,1130
4002,35.69339444,1600,1000,1L,8,557.3,288.2,17,1551
5002,35.69339444,1600,-500,1L,8,257.4,288.2,19,753
5002,35.69339444,1600,0,1L,9,374.7,288.2,20,1014
5002,35.69339444,1600,500,1L,10,496.5,288.2,21,1358
5002,35.69339444,1600,1000,1L,12,625.3,288.2,23,1779
6002,35.69339444,1600,-500,1L,11,383.2,288.2,25,1036
6002,35.69339444,1600,0,1L,12,497.2,288.2,26,1360
6002,35.69339444,1600,500,1L,15,625.9,288.2,28,1781
6002,35.69339444,1600,1000,1L,23,845,288.2,35,2562
2501,35.69339444,4800,-250,1L,3,60.01153846,288.2,9,514.5402674
2501,35.69339444,4800,0,1L,4,163.9115385,288.2,9,604.7601341
2501,35.69339444,4800,250,1L,4,267.8115385,288.2,9,772.9633627
3001,35.69339444,4800,-500,1L,4,27.28076923,288.2,11,504.2398722
3001,35.69339444,4800,0,1L,4,201.0807692,288.2,11,656.6146171
3001,35.69339444,4800,500,1L,5,376.4807692,288.2,11,1018.94678
3001,35.69339444,4800,1000,1L,6,545.6153846,288.2,12,1511.489312
4002,35.69339444,4800,-500,1L,6,146.0192308,288.2,15,583.322384
4002,35.69339444,4800,0,1L,6,282.2192308,288.2,15,801.7515993
4002,35.69339444,4800,500,1L,7,420.8538462,288.2,16,1136.793324
4002,35.69339444,4800,1000,1L,8,559.5884615,288.2,17,1556.787878
5002,35.69339444,4800,-500,1L,8,259.9576923,288.2,19,757.8001675
5002,35.69339444,4800,0,1L,9,377.3923077,288.2,20,1021.274069
5002,35.69339444,4800,500,1L,10,499.3269231,288.2,21,1365.825027
5002,35.69339444,4800,1000,1L,12,628.3961538,288.2,23,1787.482843
6002,35.69339444,4800,-500,1L,11,386.5653846,288.2,25,1044.91858
6002,35.69339444,4800,0,1L,12,500.7,288.2,26,1370.042104
6002,35.69339444,4800,500,1L,15,629.6692308,288.2,28,1791.856958
6002,35.69339444,4800,1000,1L,23,849.7115385,288.2,35,2579.7943
2501,0,800,-250,1L,2.7,58.69356396,288.2,8.983708769,513.0695897
2501,0,800,0,1L,3.6,162.4054907,288.2,8.983708769,602.9066774
2501,0,800,250,1L,3.6,266.1174175,288.2,8.983708769,769.6043846
3001,0,800,-500,1L,3.6,25.75329847,288.2,10.9800885,502.0895012
3001,0,800,0,1L,3.6,199.2386967,288.2,10.9800885,653.8143604
3001,0,800,500,1L,4.5,374.3211987,288.2,10.9800885,1013.162711
4002,0,800,-500,1L,5.4,143.7393403,288.2,14.97284795,580.9465004
4002,0,800,0,1L,5.4,279.6927997,288.2,14.97284795,795.557321
4002,0,800,500,1L,6.3,417.9420957,288.2,15.97103781,1127.954545
4002,0,800,1000,1L,7.2,556.2912108,288.2,16.96922767,1548.192478
5002,0,800,-500,1L,7.2,256.9340708,288.2,18.9656074,751.636967
5002,0,800,0,1L,8.1,374.0217418,288.2,19.96379726,1012.164521
5002,0,800,500,1L,9,495.6012671,288.2,20.96198713,1355.541834
5002,0,800,1000,1L,10.8,624.1681215,288.2,22.95836685,1775.779767
6002,0,800,-500,1L,9.9,382.5063556,288.2,24.95474658,1034.124698
6002,0,800,0,1L,10.8,496.3,288.2,25.95293644,1357.538214
6002,0,800,500,1L,13.5,624.7670354,288.2,27.94931617,1777.776146
6002,0,800,1000,1L,20.7,843.4704344,288.2,34.93664521,2557.36243
2501,0,4000,-250,1L,2.7,59.04835076,288.2,9.038012872,516.1709574
2501,0,4000,0,1L,3.6,163.3871883,288.2,9.038012872,606.5510861
2501,0,4000,250,1L,3.6,267.7260257,288.2,9.038012872,774.256436
3001,0,4000,-500,1L,3.6,25.90897023,288.2,11.04646018,505.1244972
3001,0,4000,0,1L,3.6,200.443041,288.2,11.04646018,657.7664924
3001,0,4000,500,1L,4.5,376.5838697,288.2,11.04646018,1019.287007
4002,0,4000,-500,1L,5.4,144.608206,288.2,15.06335479,584.4581657
4002,0,4000,0,1L,5.4,281.3834674,288.2,15.06335479,800.366251
4002,0,4000,500,1L,5.4,420.4684433,288.2,16.06757844,1134.772727
4002,0,4000,1000,1L,6.3,559.6538415,288.2,17.07180209,1557.550885
5002,0,4000,-500,1L,7.2,258.4871681,288.2,19.0802494,756.1804103
5002,0,4000,0,1L,7.2,376.2826026,288.2,20.08447305,1018.282784
5002,0,4000,500,1L,8.1,498.5970434,288.2,21.0886967,1363.73572
5002,0,4000,1000,1L,9,627.9410499,288.2,23.09714401,1786.513878
6002,0,4000,-500,1L,10.8,384.8185036,288.2,25.10559131,1040.375704
6002,0,4000,0,1L,9.9,499.3,288.2,26.10981496,1365.744167
6002,0,4000,500,1L,10.8,628.5435841,288.2,28.11826227,1788.522325
6002,0,4000,1000,1L,13.5,848.5689863,288.2,35.14782784,2572.820998
